tie,x,y
1_1348,101217,1741536
1_1349,101217,1777818
1_1350,101217,1814100
1_1351,101217,1850382
1_1352,101217,1886664
1_1353,101217,1922946
1_1354,101217,1959228
1_1355,101217,1995510
1_1356,101217,2031792
1_1357,101217,2068074
1_1358,101217,2104356
1_1359,101217,2140638
1_1360,101217,2176920
1_1361,101217,2213202
1_1362,101217,2249484
1_1363,101217,2285766
1_1364,101217,2322048
1_1365,101217,2358330
1_1366,101217,2394612
1_1367,101217,2430894
1_1368,101217,2467176
1_1369,101217,2503458
1_1370,101217,2539740
1_1371,101217,2576022
1_1372,101217,2612304
1_1373,101217,2648586
1_1374,101217,2684868
1_1375,101217,2721150
1_1376,101217,2757432
1_1377,101217,2793714
1_1378,101217,2829996
1_1401,134956,30081
1_1402,134956,66363
1_1403,134956,102645
1_1404,134956,138927
1_1405,134956,175209
1_1406,134956,211491
1_1407,134956,247773
1_1408,134956,284055
1_1409,134956,320337
1_1410,134956,356619
1_1411,134956,392901
1_1412,134956,429183
1_1413,134956,465465
1_1414,134956,501747
1_1415,134956,538029
1_1416,134956,574311
1_1417,134956,610593
1_1418,134956,646875
1_1419,134956,683157
1_1420,134956,719439
1_1421,134956,755721
1_1422,134956,792003
1_1423,134956,828285
1_1424,134956,864567
1_1425,134956,900849
1_1426,134956,937131
1_1427,134956,973413
1_1428,134956,1009695
1_1429,134956,1045977
1_1430,134956,1082259
1_1431,134956,1118541
1_1432,134956,1154823
1_1433,134956,1191105
1_1434,134956,1227387
1_1435,134956,1263669
1_1436,134956,1299951
1_1437,134956,1336233
1_1438,134956,1372515
1_1439,134956,1408797
1_1440,134956,1445079
1_1441,134956,1481361
1_1442,134956,1517643
1_1443,134956,1553925
1_1444,134956,1590207
1_1445,134956,1626489
1_1446,134956,1662771
1_1447,134956,1699053
1_1448,134956,1735335
1_1449,134956,1771617
1_1450,134956,1807899
1_1451,134956,1844181
1_1452,134956,1880463
1_1453,134956,1916745
1_1454,134956,1953027
1_1455,134956,1989309
1_1456,134956,2025591
1_1457,134956,2061873
1_1458,134956,2098155
1_1459,134956,2134437
1_1460,134956,2170719
1_1461,134956,2207001
1_1462,134956,2243283
1_1463,134956,2279565
1_1464,134956,2315847
1_1465,134956,2352129
1_1466,134956,2388411
1_1467,134956,2424693
1_1468,134956,2460975
1_1469,134956,2497257
1_1470,134956,2533539
1_1471,134956,2569821
1_1472,134956,2606103
1_1473,134956,2642385
1_1474,134956,2678667
1_1475,134956,2714949
1_1476,134956,2751231
1_1477,134956,2787513
1_1478,134956,2823795
1_1501,168695,36282
1_1502,168695,72564
1_1503,168695,108846
1_1504,168695,145128
1_1505,168695,181410
1_1506,168695,217692
1_1507,168695,253974
1_1508,168695,290256
1_1509,168695,326538
1_1510,168695,362820
1_1511,168695,399102
1_1512,168695,435384
1_1513,168695,471666
1_1514,168695,507948
1_1515,168695,544230
1_1516,168695,580512
1_1517,168695,616794
1_1518,168695,653076
1_1519,168695,689358
1_1520,168695,725640
1_1521,168695,761922
1_1522,168695,798204
1_1523,168695,834486
1_1524,168695,870768
1_1525,168695,907050
1_1526,168695,943332
1_1527,168695,979614
1_1528,168695,1015896
1_1529,168695,1052178
1_1530,168695,1088460
1_1531,168695,1124742
1_1532,168695,1161024
1_1533,168695,1197306
1_1534,168695,1233588
1_1535,168695,1269870
1_1536,168695,1306152
1_1537,168695,1342434
1_1538,168695,1378716
1_1539,168695,1414998
1_1540,168695,1451280
1_1541,168695,1487562
1_1542,168695,1523844
1_1543,168695,1560126
1_1544,168695,1596408
1_1545,168695,1632690
1_1546,168695,1668972
